"n_estimators","learning_rate","max_depth","score"
"110","0.3","4","0.37167663254619776"
"110","0.3","5","0.278516548463357"
"110","0.3","6","0.27318295739348375"
"110","0.5","3","0.3727588012040309"
"110","0.5","4","0.4330278626307507"
"110","0.5","5","0.2591719614675138"
"110","0.5","6","0.28546099290780147"
"110","0.6","3","0.28917562724014334"
"110","0.6","4","0.28279678068410463"
"110","0.6","5","0.2736125805520823"
"110","0.6","6","0.2969915586965057"
"110","0.7","3","0.303971119133574"
"110","0.7","4","0.3991232647949066"
"110","0.7","5","0.28651354534746765"
"110","0.7","6","0.37167663254619776"
"110","0.8","3","0.2926550694078369"
"110","0.8","4","0.3845156047322112"
"110","0.8","5","0.2774701253278927"
"110","0.8","6","0.3757142857142857"
"110","1.0","3","0.40222884156552413"
"110","1.0","4","0.3705627705627706"
"110","1.0","5","0.43068100358422945"
"110","1.0","6","0.3679633867276888"

"n_estimators","learning_rate","max_depth","score"
"80","0.3","3","0.2708578720062819"
"80","0.3","4","0.28900709219858156"
"80","0.3","5","0.38341158059467917"
"80","0.3","6","0.3963927034228325"
"80","0.5","3","0.2743243243243243"
"80","0.5","4","0.3195534539072783"
"80","0.5","5","0.2949984797810885"
"80","0.5","6","0.3862693453149477"
"80","0.6","3","0.2743243243243243"
"80","0.6","4","0.3915565738799785"
"80","0.6","5","0.2850387559108858"
"80","0.6","6","0.28279678068410463"
"80","0.7","3","0.4180015987210232"
"80","0.7","4","0.3937902309731162"
"80","0.7","5","0.3573527921354009"
"80","0.7","6","0.2873835125448029"
"80","0.8","3","0.36810650459445776"
"80","0.8","4","0.43108218575111606"
"80","0.8","5","0.3919841231424561"
"80","0.8","6","0.3727588012040309"
"80","1.0","3","0.30128037627384374"
"80","1.0","4","0.2739646120941085"
"80","1.0","5","0.31525096525096524"
"80","1.0","6","0.37288561906558515"
"90","0.3","3","0.2817857142857143"
"90","0.3","4","0.30002986114567265"
"90","0.3","5","0.344425928731337"
"90","0.3","6","0.28717605923488276"
"90","0.5","3","0.3608277470125328"
"90","0.5","4","0.43206349206349204"
"90","0.5","5","0.3933313063747847"
"90","0.5","6","0.3768721699756183"
"90","0.6","3","0.278516548463357"
"90","0.6","4","0.40845070422535207"
"90","0.6","5","0.386984126984127"
"90","0.6","6","0.2891070960984551"
"90","0.7","3","0.43362193362193363"
"90","0.7","4","0.29832416863053157"
"90","0.7","5","0.275763804540783"
"90","0.7","6","0.36900785775368283"
"90","0.8","3","0.3887128283047536"
"90","0.8","4","0.28227848101265823"
"90","0.8","5","0.2647937092519783"
"90","0.8","6","0.28945403871995223"
"90","1.0","3","0.4236954761078329"
"90","1.0","4","0.2726086956521739"
"90","1.0","5","0.28651354534746765"
"90","1.0","6","0.2936674304099839"
"100","0.3","3","0.3723242332977104"
"100","0.3","4","0.3779342723004695"
"100","0.3","5","0.2702891791044776"
"100","0.3","6","0.3963927034228325"
"100","0.5","3","0.2571428571428571"
"100","0.5","4","0.27389336016096577"
"100","0.5","5","0.2781894408423926"
"100","0.5","6","0.4258862953930888"
"100","0.6","3","0.43770981551633864"
"100","0.6","4","0.363849765258216"
"100","0.6","5","0.2914092664092664"
"100","0.6","6","0.37706237424547284"
"100","0.7","3","0.43020979020979017"
"100","0.7","4","0.30456252608151346"
"100","0.7","5","0.2975352112676056"
"100","0.7","6","0.25528169014084506"
"100","0.8","3","0.279190290574061"
"100","0.8","4","0.39232470905068767"
"100","0.8","5","0.29097744360902256"
"100","0.8","6","0.3022448565926827"
"100","1.0","3","0.40536824485891926"
"100","1.0","4","0.27324905550712"
"100","1.0","5","0.29018080111876937"
"100","1.0","6","0.37463141421629187"
"110","0.3","3","0.2781894408423926"
"110","0.3","4","0.34535995405560627"
"110","0.3","5","0.37071824134390413"
"110","0.3","6","0.2794879767827529"
"110","0.5","3","0.3774891774891775"
"110","0.5","4","0.30967227718130247"
"110","0.5","5","0.34291006955366815"
"110","0.5","6","0.3954248366013072"
"110","0.6","3","0.3124428399518653"
"110","0.6","4","0.37360237141817043"
"110","0.6","5","0.41980229339659947"
"110","0.6","6","0.27213279678068414"
"110","0.7","3","0.3204457897633462"
"110","0.7","4","0.39782573940847327"
"110","0.7","5","0.40662493479394884"
"110","0.7","6","0.30714285714285716"
"110","0.8","3","0.2926550694078369"
"110","0.8","4","0.2778720996038483"
"110","0.8","5","0.386984126984127"
"110","0.8","6","0.3790074659639877"
"110","1.0","3","0.2982164984953089"
"110","1.0","4","0.29457040849445915"
"110","1.0","5","0.2856818181818182"
"110","1.0","6","0.26663081886618534"

"n_estimators","learning_rate","max_depth","score"
"80","0.3","3","0.34769095638660863"
"80","0.3","4","0.30162907268170425"
"80","0.3","5","0.3520724486241728"
"80","0.3","6","0.36892230576441093"
"80","0.5","3","0.38898472941026135"
"80","0.5","4","0.426448521225616"
"80","0.5","5","0.26697177726926014"
"80","0.5","6","0.2702891791044776"
"80","0.6","3","0.28845238095238096"
"80","0.6","4","0.40952380952380957"
"80","0.6","5","0.30064000747453984"
"80","0.6","6","0.29607638229146876"
"80","0.7","3","0.4156060606060606"
"80","0.7","4","0.400778151889263"
"80","0.7","5","0.27772692601067883"
"n_estimators","learning_rate","max_depth","score"
"95","0.5","3","0.2708578720062819"
"95","0.5","4","0.431063661526295"
"95","0.5","5","0.2906848129268058"
"95","0.55","3","0.4035404395465198"
"95","0.55","4","0.39825396825396825"
"95","0.55","5","0.3804959904480694"
"95","0.6","3","0.33170995670995673"
"95","0.6","4","0.28103621730382294"
